race_id,track,year,driver,lap,stint_no,compound,tire_age_laps,last_laps_json,cheap_stop_flag_true,pitted_this_lap,pitted_within2
2023_Monaco,MONACO GRAND PRIX,2023,ALB,39,2,HARD,20,"[80.731, 78.619, 78.804, 79.143, 78.633]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,40,2,HARD,21,"[78.619, 78.804, 79.143, 78.633, 78.774]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,41,2,HARD,22,"[78.804, 79.143, 78.633, 78.774, 78.476]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,42,2,HARD,23,"[79.143, 78.633, 78.774, 78.476, 78.825]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,43,2,HARD,24,"[78.633, 78.774, 78.476, 78.825, 78.93]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,44,2,HARD,25,"[78.774, 78.476, 78.825, 78.93, 78.486]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,45,2,HARD,26,"[78.476, 78.825, 78.93, 78.486, 78.767]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,46,2,HARD,27,"[78.825, 78.93, 78.486, 78.767, 78.829]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,47,2,HARD,28,"[78.93, 78.486, 78.767, 78.829, 78.9]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,48,2,HARD,29,"[78.486, 78.767, 78.829, 78.9, 78.528]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,49,2,HARD,30,"[78.767, 78.829, 78.9, 78.528, 78.882]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,50,2,HARD,31,"[78.829, 78.9, 78.528, 78.882, 80.597]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,51,2,HARD,32,"[78.9, 78.528, 78.882, 80.597, 80.166]",0,0,1
2023_Monaco,MONACO GRAND PRIX,2023,ALB,52,2,HARD,33,"[78.528, 78.882, 80.597, 80.166, 89.941]",0,1,1
2023_Monaco,MONACO GRAND PRIX,2023,ALB,53,3,INTERMEDIATE,0,"[78.882, 80.597, 80.166, 89.941, 115.852]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,54,3,INTERMEDIATE,1,"[80.597, 80.166, 89.941, 115.852, 96.281]",1,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,55,3,INTERMEDIATE,2,"[80.166, 89.941, 115.852, 96.281, 98.297]",1,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,56,3,INTERMEDIATE,3,"[89.941, 115.852, 96.281, 98.297, 105.721]",0,0,0
2023_Monaco,MONACO GRAND PRIX,2023,ALB,57,3,INTERMEDIATE,4,"[115.852, 96.281, 98.297, 105.721, 104.909]",1,0,0
